"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-08-27T17:37:47.000Z","image","Napoli are closing in on deal to sign Jesper Lindstrøm from Eintracht — as agreement is being finalised 🔵🇩🇰

Eintracht director Markus Krösche: “Yes, something could happen soon for that deal”.","","https://pbs.twimg.com/media/F4jhbVpWMAASvmQ?format=jpg&name=small","19K","1.4K","414"
"2023-08-27T17:08:19.000Z","image","EXCL: Manchester City submitted new bid for Matheus Nunes. Package around €60m with add-ons and club confident to get it done 🚨🔵🇵🇹 #MCFC

Personal terms agreed days ago, City optimistic — opening €50m plus €5m add ons bid was rejected.

Nunes remains City top target.","","https://pbs.twimg.com/media/F4jarxQXQAAO3Pg?format=jpg&name=small","44K","3.8K","764"
"2023-08-27T15:26:32.000Z","image","More on Gray exclusive story. #EFC and Al Shabab agreed on deal one week ago, agreement was almost done also on player side in last 48h. 🇸🇦

Now with recent changes in Al Shabab board, process has slowed down — and one more Saudi club is showing interest in Gray. Up to Al Shabab.Excl: Al Shabab reach verbal agreement in principle with Everton to sign Demarai Gray. 🚨🔵🇸🇦 #EFC

Deal only agreed club to club at this stage — as Saudi sources confirm.

Al Shabab will now start talks also on personal terms — up to Demarai’s decision.","","https://pbs.twimg.com/media/F4AljJ_WUAAL4cA?format=jpg&name=small","8.4K","696","220"
"2023-08-27T15:17:59.000Z","image","Murillo will travel to Europe in the next days to undergo medical tests as new Nottingham Forest player. 🔴🌳🇧🇷

€13m plus €3m final fee, sell-on clause included for Corinthians.

Here we go, confirmed since Friday ⤵️Murillo to Nottingham Forest, here we go! Verbal agreement with Corinthians on €12m deal plus €3m add-ons fee 🚨🌳🇧🇷 #NFFC

Understand Corinthians will also have sell-on clause included in the deal.

Another European club tried to hijack the move but he’s joining Forest.","","https://pbs.twimg.com/media/F4aQ9CHX0AAo9EQ?format=jpg&name=small","9.7K","730","200"
"2023-08-27T14:52:49.000Z","image","Understand Iván Fresneda’s set to travel to Lisbon in the next hours. 🟢🛩️

Spanish RB will land in Portugal today in order to complete his move to Sporting.

€9m fee, €3m add-ons and 10% sell on clause. Here we go, confirmed.","","https://pbs.twimg.com/media/F4i7rBeW0AAgyVl?format=jpg&name=small","18K","1.4K","332"
"2023-08-27T14:34:40.000Z","text","Mohamed Salah starts for Liverpool vs Newcastle today. 🔴🇪🇬 #LFC","","","43K","2.2K","1.8K"
"2023-08-27T14:26:53.000Z","image","Benjamin Pavard, out of Bayern squad for Augsburg game as expected. He’s pushing to join Inter. 🔴⛔️ #FCBayern","","https://pbs.twimg.com/media/F4i1vKZWoAEU8v5?format=jpg&name=360x360,https://pbs.twimg.com/media/F4i1vKJXgAAvCAI?format=jpg&name=360x360","19K","1K","281"
"2023-08-27T14:08:39.000Z","text","Mohammed Kudus will be unveiled as West Ham player later today ✨🇬🇭 #WHUFC","","","41K","2.5K","502"
"2023-08-27T14:06:21.000Z","image","Chelsea owners at Strasbourg game, as negotiations with AS Roma will continue later tonight — while Roma negotiate on player side. 🟡🔴🇧🇪

Roma feel they can reach an agreement with all parties involved within next 24h.

More to follow.","","https://pbs.twimg.com/media/F4ixCO0WYAA8uLe?format=jpg&name=small","24K","1.7K","367"
"2023-08-27T13:27:09.000Z","image","Fulham are getting closer to reaching an agreement with Leicester for Timothy Castagne — talks underway on final details then here we go ⚪️⚫️🇧🇪

Castagne, high on Marco Silva’s list as negotiations advance to final stages.","","https://pbs.twimg.com/media/F4ioD-lXgAALl7o?format=jpg&name=small","18K","1.2K","316"
"2023-08-27T13:20:07.000Z","image","✍🏻⚒️🇬🇭 #WHUFC

…here we go, confirmed.Mohammed Kudus has successfully completed medical tests in London as new West Ham player 🚨⚒️🇬🇭

Contract until June 2028 plus option to extend will be signed on Sunday.

Here we go, confirmed.","","https://pbs.twimg.com/media/F4fM51zWsAAsrbD?format=jpg&name=small","19K","1.4K","500"
"2023-08-27T13:03:35.000Z","image","AS Roma, now negotiating with Lukaku’s camp in order to reach an agreement on salary coverage/pay cut. Direct talks are taking place today. 🟡🔴🇧🇪 #ASRoma

Romelu had more than one contact with José Mourinho who’s pushing a lot.

Loan fee offered to Chelsea, in excess of €5m.","","https://pbs.twimg.com/media/F4iiq7PWoAAO3BN?format=jpg&name=small","23K","1.7K","467"
"2023-08-27T11:06:00.000Z","image","Beto deal agreed on Saturday between Everton and Udinese, now just time for medical and formal steps 🔵⏳ #EFC

It will be official next week.Understand Everton have reached an agreement with Udinese for Beto! Deal in place for fee in excess of €30m — under the release clause 🚨🔵 #EFC

Personal terms also agreed, just final details to be sorted.

Medical to take place on Sunday if all goes to plan.

Here we go, soon.","","https://pbs.twimg.com/media/F4dhd-NXoAAokCu?format=jpg&name=small","10K","684","323"
"2023-08-27T08:52:14.000Z","image","Leeds United have submitted official bid for Glen Kamara. Negotiations now at the final stages with Rangers ⚪️🇫🇮 #LUFC

Deal expected to be completed next week, player has already accepted.","","https://pbs.twimg.com/media/F4hpI8aXYAA7JUc?format=jpg&name=small","21K","1.8K","483"
