"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-07-29T18:42:10.000Z","image","Official, confirmed. James Rodriguez is new São Paulo player on free move 🇨🇴

It’s his 10th club… in 10 different countries 🌎

🇨🇴Envigado
🇦🇷Banfield
🇵🇹FC Porto
🇫🇷AS Monaco
🇪🇸Real Madrid
🇩🇪Bayern
🏴󠁧󠁢󠁥󠁮󠁧󠁿Everton
🇶🇦Al-Rayyan
🇬🇷Olympiacos
🇧🇷São Paulo","","https://pbs.twimg.com/media/F2OaEA9WAAAbOYe?format=jpg&name=small","70K","4.5K","830"
"2023-07-29T18:35:45.000Z","image","OL rejected €30m from PSG for Bradley Barcola — as exclusively revealed on Friday. 🔴🔵 #PSG

…that’s why PSG are pushing to activate release clause for Ousmane Dembélé.Understand Paris Saint-Germain had approach with €30m bid ready rejected by Olympique Lyon for Bradley Barcola 🚨🔴🔵 #PSG

PSG focused on Ousmane Dembélé by activating contacts to trigger €50m release clause.

…but again, nothing done yet. It depends on Dembélé.","","https://pbs.twimg.com/media/F2JpLm2XAAEQIPO?format=jpg&name=360x360,https://pbs.twimg.com/media/F2JpLm4WQAAiNcv?format=jpg&name=360x360","12K","851","111"
"2023-07-29T18:34:32.000Z","text","👍✌🏻","","","564","7","19"
"2023-07-29T18:29:09.000Z","image","Manchester United are prepared to book medical for Rasmus Højlund — after the agreement sealed with Atalanta 🔴🇩🇰

Højlund will sign contract valid until June 2028 with an option for further year.

Clubs will exchange documents in the next 24/48h.

Here we go ✔️","","https://pbs.twimg.com/media/F2OXFIiWMAAu2DL?format=jpg&name=small","109K","13K","1.3K"
"2023-07-29T18:16:42.000Z","image","Rasmus Højlund to Manchester United, here we go! Agreement reached right now with Atalanta 🚨🔴🇩🇰 #MUFC

Package will be around €70m with add ons, clubs preparing documents in the next 24 hours.

Højlund agreed 5 year deal ten days ago as he only wanted Manchester United.","","https://pbs.twimg.com/media/F2OTyrdXsAARv4R?format=jpg&name=small","331K","77K","10K"
"2023-07-29T18:01:36.000Z","image","Eddie Howe on Bruno future: “We’d love Bruno to extend his stay here for a long time”. 🚨⚪️⚫️ #NUFC

“I’m not party to those talks every day, and there are talks ongoing — Bruno knows how we feel about him and I know he’s very happy here. We hope there is a solution to be found”.","","https://pbs.twimg.com/media/F2OQxlMWQAAaDdn?format=jpg&name=small","16K","917","141"
"2023-07-29T17:39:20.000Z","image","Official details of Nico González deal between FC Porto and Barcelona 🐉

◉ €8.4m permanent deal.
◉ Contract until June 2028.
◉ €60m official release clause.
◉ 40% future sale to Barcelona.

🔵🔴 €30m buy back clause for Barça only valid until June 2025.","","https://pbs.twimg.com/media/F2OLrd5WQAADH6Z?format=jpg&name=small","22K","1.6K","182"
"2023-07-29T17:33:37.000Z","video","Official, confirmed. Karl Darlow joins Leeds United from Newcastle ⚪️✔️","blob:https://twitter.com/aeed266d-a098-485c-befa-76849f4844e3","https://pbs.twimg.com/amplify_video_thumb/1685316935620395008/img/U_lRaiSiTy02jbv7.jpg","13K","734","125"
"2023-07-29T17:30:28.000Z","image","Official, confirmed. Nico González joins FC Porto from Barcelona on €8.5m deal plus sell on clause 🔵🐉

Barça will also have buy back clause for Nico.","","https://pbs.twimg.com/media/F2OJpkFWIAAQEYf?format=jpg&name=small","26K","1.4K","145"
"2023-07-29T14:36:53.000Z","image","Inter have submitted €15m bid for Lazar Samardzić. Deal also includes Giovanni Fabbian to Udinese, permanent move with buy back clause. 🚨⚫️🔵 #Inter

Samardzić agreed personal terms with Inter.

Talks will continue next week to get it done, as   called.","","https://pbs.twimg.com/media/F2Nh6sEWIAM30eb?format=jpg&name=small","15K","1.3K","167"
"2023-07-29T14:01:57.000Z","text","🧘🏼‍♂️","","","5.5K","158","110"
"2023-07-29T13:51:30.000Z","image","Rasmus Højlund’s contract, agreed last week with Manchester United and no changes. Deal until June 2028, option until June 2029. 🔴🔒 #MUFC

Højlund, only waiting for deal to happen as soon as possible.

…Man United and Atalanta are getting closer to the agreement.","","https://pbs.twimg.com/media/F2NXiCjXkAEQ3NU?format=jpg&name=small","80K","8.1K","1.2K"
"2023-07-29T13:26:27.000Z","image","Confirmed: Højlund doesn’t appear in Atalanta official starting XI today. 🇩🇰Manchester United and Atalanta, closer to reaching an agreement for Rasmus Højlund — talks advancing 🚨🔴

Understand Højlund will NOT play today in friendly game vs Bournemouth as the clubs decided to avoid any risk with deal at advanced stages.","","https://pbs.twimg.com/media/F2NE05MWEAA1gPg?format=jpg&name=small","33K","2.9K","411"
"2023-07-29T12:50:00.000Z","text","✅","","","912","26","19"
"2023-07-29T12:49:30.000Z","image","Lesley Ugochukwu, set to be excluded by Rennes squad for friendly game vs West Ham later today. 🔵✨

He’s on the verge of joining Chelsea — deal will be completed in the next hours, club and player don’t want to take any risk.","","https://pbs.twimg.com/media/F2NJV2kWMAAcm_5?format=jpg&name=small","28K","2.6K","379"
"2023-07-29T12:41:14.000Z","image","Official: Valencia confirm termination of the contract for Edinson Cavani ⚪️🏹

…next step, Boca Juniors. 🟡🔵🇺🇾Edinson Cavani to Boca Juniors, here we go! Verbal agreement completed on deal valid until December 2024 🟡🔵🏹

Cavani has accepted conditions of the agreement as he’s leaving Valencia on free transfer, as reported yesterday.

Contracts to be signed soon.
Cavani ✖️ la Bombonera.","","https://pbs.twimg.com/media/F2KwcYpW0AArBUR?format=jpg&name=small","24K","1.5K","233"
"2023-07-29T12:29:46.000Z","image","Manchester United and Atalanta, closer to reaching an agreement for Rasmus Højlund — talks advancing 🚨🔴

Understand Højlund will NOT play today in friendly game vs Bournemouth as the clubs decided to avoid any risk with deal at advanced stages.","","https://pbs.twimg.com/media/F2NE05MWEAA1gPg?format=jpg&name=small","94K","10K","1.5K"
"2023-07-29T12:25:58.000Z","image","Chelsea have reached verbal agreement with Rennes for Lesley Ugochukwu, deal in place — personal terms agreed, long term contract 🚨🔵🇫🇷 #CFC

Ugochukwu will sign for Chelsea then talks will follow to decide about loan to Strasbourg.

Fee around €27m, as  reports.","","https://pbs.twimg.com/media/F2ND9K1XcAAKLsT?format=jpg&name=small","36K","4.7K","974"
"2023-07-29T12:20:39.000Z","image","James Rodriguez has just signed as new São Paulo player, deal sealed after the verbal agreement reached two days ago — here we go 🔴⚪️⚫️

Official statement to follow, as reported by .","","https://pbs.twimg.com/media/F2NCvVmXQAEiUpR?format=jpg&name=small","48K","2.9K","422"
"2023-07-29T12:13:45.000Z","image","Jurgen Klopp: “It's definitely important to strengthen in mifield. We have to do something, that is clear”. 🔴 #LFC

“We are working on solutions. First people want changes, now everyone is worrying about the changes. We are really optimistic about it. Excited as well”.","","https://pbs.twimg.com/media/F2NBKK-WQAAuPC3?format=jpg&name=small","31K","1.9K","308"
